운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,급속충전량,비고,주소2
제주특별자치도,제주공천포전지훈련센터,2,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 신례로 96(신례리 544-2),24시간 이용가능,제한없음,,, 남원읍 신례로 96(신례리 544-2)
제주특별자치도,제주교도소 민원인주차장,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 정실동길 51,24시간 이용가능,제한없음,,,정실동길 51
제주특별자치도,제주국제컨벤션센터,1,DC차데모,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,2,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,3,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,4,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,5,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,6,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,7,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,8,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,9,DC차데모,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,10,DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,11,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,12,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,13,AC완속,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주국제컨벤션센터,14,DC차데모+AC3상+DC콤보,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터),24시간 이용가능,제한없음,,, 중문관광로 224(지하주차장 입구 인근)(2700 제주국제컨벤션센터)
제주특별자치도,제주농업기술센터,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 상귀길 173,24시간 이용가능,제한없음,,,애월읍 상귀길 173
제주특별자치도,제주도 상하수도본부,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 중산간동로 601,24시간 이용가능,제한없음,,,조천읍 중산간동로 601
제주특별자치도,제주도 상하수도본부,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 중산간동로 601,24시간 이용가능,제한없음,,,조천읍 중산간동로 601
제주특별자치도,제주도 상하수도본부,3,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 중산간동로 601,24시간 이용가능,제한없음,,,조천읍 중산간동로 601
제주특별자치도,제주도 소방안전본부,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 신대로9길 22,24시간 이용가능,제한없음,,,신대로9길 22
제주특별자치도,제주도 소방안전본부,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 신대로9길 22,24시간 이용가능,제한없음,,,신대로9길 22
제주특별자치도,제주도 소방안전본부,3,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 신대로9길 22,24시간 이용가능,제한없음,,,신대로9길 22
제주특별자치도,제주도농아복지관,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 우령서로 16길 19(외도일동 1633),24시간 이용가능,제한없음,,,우령서로 16길 19(외도일동 1633)
제주특별자치도,제주도농아복지관,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 우령서로 16길 19(외도일동 1633),24시간 이용가능,제한없음,,,우령서로 16길 19(외도일동 1633)
제주특별자치도,제주도청 2청사,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 문연로 30(연동),24시간 이용가능,제한없음,,,문연로 30(연동)
제주특별자치도,제주도청 2청사,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 문연로 30(연동),24시간 이용가능,제한없음,,,문연로 30(연동)
